publishedx_at,brand,contentx,Customer Idx,Question,Tenure Typex,Management areax,Age Groupx,Ethnicityx,Property Typex
2024-11-23,Brand C,This is because I have had no problems and there is nothing to complain about.,Anonymous,How do I handle missing values?,Shared Ownership,Stockton,60+,Mixed,House
2024-03-09,Brand B,Very good service,LARV020050005,What hyperparameters should I tune?,Private Rental,Staindrop,36-45,Asian,Flat
2024-04-13,Brand B,"I have never had any problems at all with them. We have a brilliant Housing Officer and they do a lot of extras with regard to energy efficiency and the cost of living crisis. From the information they have sent they have been and checked all properties for extra efficiency on heating and made improvements where necessary and this has helped in general. Jane is the Housing Officer and she is great, if there is anything she can do she will. Over the years she has helped with my Daughter and arranged improvement work to be carried out. She is always available and will put in place anything that is needed.",COPE010190002,What hyperparameters should I tune?,Leasehold,Teesdale,26-35,Black,Bungalow
2022-11-12,Brand C,great service,WORT020150001,What hyperparameters should I tune?,Leasehold,Thornaby,60+,Other,House
2022-05-14,Brand C,"I got everything sorted straight away, I had an emergency and they came out within an hour.",Anonymous,How can I improve model precision?,Private Rental,Stockton,26-35,White,House
2023-05-26,Brand C,It is just a good and quick service from them and they are friendly. I have lived here for five years now so know them pretty well and feel safe and sound in my new build home.,MITC021150001,How can I improve model precision?,Private Rental,Etherley,36-45,Mixed,Maisonette
2023-07-19,Brand D,"Efficiency, reliability, prompt responses.",COPE010190002,How do I handle missing values?,Leasehold,Stanley,26-35,Asian,Flat
2023-08-04,Brand A,"Every time I ring them for a repair I get it done straight away, I do not have to wait months for jobs to be done. Apart from the repairs everything is OK, the neighborhood is OK and I feel safe and secure in my home!",Anonymous,How do I handle missing values?,Freehold,Darlington,36-45,Mixed,Maisonette
2022-10-25,Brand B,"As soon as you call and report something they come and get the job done, there is no waiting about. Apart from the repairs everything is also OK, the neighborhood is nice and quiet, we are in a cul-de-sac.",Anonymous,What causes high variance in predictions?,Leasehold,Thornaby,36-45,Black,Flat
2024-07-14,Brand C,Everything is alright. The housing is brilliant. Everyone at North Star is brilliant. Brenda at North Star is absolutely brilliant. I have no faults with them.,AIDA010040003,What causes high variance in predictions?,Shared Ownership,Stanley,46-60,Other,House
2021-11-09,Brand D,"If we got a problem we ring them up, they know I am old and disabled and they are very quick to respond.",AYRE030310001,What causes high variance in predictions?,Private Rental,Hartlepool,36-45,Black,House
2024-02-28,Brand A,Keep you updated,AIDA010040003,How do I handle missing values?,Freehold,Stockton,60+,Black,Bungalow
2021-01-20,Brand C,If I need any repairs  done they come straight out or come out the next day,MANS010810009,Why is inference so slow on new data?,Private Rental,REDCAR,60+,Mixed,Maisonette
2023-09-17,Brand C,Helpfull,WELL020780003,How do I handle missing values?,Leasehold,NORTON,18-25,White,House
2024-10-16,Brand A,Whenever I have had a problem and rung up the office they have sorted it within a day. Nothing has been a problem for them and they have resolved my problems quickly and efficiently.,Anonymous,How do I handle missing values?,Private Rental,Carlinhow,36-45,Mixed,Maisonette
2022-11-06,Brand D,Workers great help respectful,NENT010050006,What causes high variance in predictions?,Freehold,Middlesbrough,26-35,Mixed,Bungalow
2023-09-20,Brand C,It is just a good and quick service from them and they are friendly. I have lived here for five years now so know them pretty well and feel safe and sound in my new build home.,WINS010010001,How can I improve model precision?,Leasehold,Barnard Castle,60+,Black,House
2021-08-01,Brand C,All and any issues resolved quickly,MANS010810009,What hyperparameters should I tune?,Freehold,Darlington,36-45,Black,Bungalow
2023-01-21,Brand C,"Every time I have reported anything I have needed doing the people have come out and have been responsible and courteous. They have also been clean and tidy and left the house as they found it and they have also done the job perfectly. Other than repairs, everything is also OK.",MITC021150001,How can I improve model precision?,Shared Ownership,Stokesley,18-25,White,House
2024-07-10,Brand B,Everything is alright. The housing is brilliant. Everyone at North Star is brilliant. Brenda at North Star is absolutely brilliant. I have no faults with them.,Anonymous,How can I improve model precision?,Private Rental,Thornaby,60+,Asian,Bungalow
2021-11-29,Brand D,"I just think that they are great. Of all the other Landlords I have had they have never done repairs but these are different. I moved in in August, I was gifted carpets and had a paint card to decorate. I have had the boiler down twice, I cannot fault them, it is working OK at the moment. We had knocked the radiator and that caused the problem.",Anonymous,How do I handle missing values?,Freehold,Carlinhow,36-45,Black,House
2023-03-14,Brand D,Keep you updated,ST P030840009,How can I improve model precision?,Private Rental,Cockfield,26-35,Black,Bungalow
2024-11-02,Brand A,This is because I have had no problems and there is nothing to complain about.,Anonymous,What hyperparameters should I tune?,Shared Ownership,Stockton,46-60,White,Maisonette
2023-02-19,Brand C,When they come out they are great and do a good job. I do have a complaint as the girl who is in charge around here was up here. My husband told her that the front door archway the concrete is coming off and nothing was done about it.,COPE010190002,Why is inference so slow on new data?,Leasehold,Barnard Castle,18-25,Black,Maisonette
2023-04-12,Brand D,They do come whenever I need them and solve any problems. At the moment the only problem is when something is getting repaired I have not been getting informed that they are coming. They say they have texted me and have tried to call but they just arrive without any notification which is difficult as I am a working single mother.,Anonymous,What hyperparameters should I tune?,Private Rental,Stockton,36-45,Mixed,House
2022-09-15,Brand D,It is just a good and quick service from them and they are friendly. I have lived here for five years now so know them pretty well and feel safe and sound in my new build home.,MILT010770106,How can I improve model precision?,Private Rental,NORTON,46-60,Asian,Studio
2023-07-17,Brand D,I have no problem with them.,EMBL010020002,What causes high variance in predictions?,Shared Ownership,Gainford,26-35,Black,Studio
2021-06-26,Brand D,"They are alright, I have no problems with them at all. I have lived here for over a year, it was a smooth process for me moving in and I have settled well. The move was a good one and I have had no issues.",Anonymous,What causes high variance in predictions?,Leasehold,Consett,18-25,Mixed,Bungalow
2021-04-21,Brand C,"The maintenance men, I had a gutter leak and they came and mended it in one place but they did not check the rest of it. So, next time it rained leaked elsewhere. They did not check it properly. There is nothing really that they do that is that good.",ST P030840009,What hyperparameters should I tune?,Leasehold,Barnard Castle,36-45,Black,Studio
2023-08-06,Brand B,Helpfull,PARK030100001,What hyperparameters should I tune?,Freehold,Consett,18-25,Black,Maisonette
2021-04-21,Brand D,"very prompt with repairs. The staff are great, always ready to help.  inside doors are very dated, but all in all everything else is good.",WORT020150001,How do I handle missing values?,Leasehold,Stanley,60+,Mixed,Studio
2022-02-16,Brand D,"If we got a problem we ring them up, they know I am old and disabled and they are very quick to respond.",COPE010190002,How do I handle missing values?,Private Rental,Barnard Castle,18-25,White,Maisonette
2022-03-14,Brand B,"If we got a problem we ring them up, they know I am old and disabled and they are very quick to respond.",BREN010210010,Why is inference so slow on new data?,Leasehold,Middlesbrough,36-45,Black,Maisonette
